국가별,시점,국내총생산,고용률,국민부담률,경제활동참가율 (%),무역의존도_수출,무역의존도_수입,수출,수입,외환보유액,부채비율,실업률,평균근로자세금,디플레이터,GDP_성장률
그리스,2019,19151,56.5,38.7,52,18.46,30.45,37911,62520,8501,200.684,17.3,40.9,96.4,1.9
그리스,2020,17676,56.3,,51,18.57,29.4,35170,55695,11944,236.462,16.3,40.1,95,-8.2
헝가리,2000,4624,56.2,38.6,49.6,59.31,67.68,28006,31958,11218,61.556,6.6,54.7,59.9,4.5
헝가리,2001,5276,56.2,37.7,48.9,56.8,62.75,30533,33728,10755,59.491,5.7,55.8,66.5,4.1
헝가리,2002,6655,56.2,37.4,48.9,51.04,55.89,34508,37787,10383,60.635,5.6,53.7,71.9,4.7
헝가리,2003,8421,57,37.3,49.7,50.48,55.98,43060,47750,12793,61.376,5.8,50.8,75.8,4.1
헝가리,2004,10286,56.8,37.1,49.5,52.8,57.36,54893,59633,15965,64.782,5.8,51.7,79.6,4.8
헝가리,2005,11201,56.9,36.6,50.2,54.67,57.79,61767,65293,18603,67.709,7.2,51.1,81.7,4.2
헝가리,2006,11476,57.4,36.4,50.7,63.59,65.72,73500,75960,21590,70.957,7.5,51.9,84.7,4
헝가리,2007,13919,57,39.4,50.3,67.15,67.44,93980,94390,24052,71.976,7.4,54.5,89.3,0.2
헝가리,2008,15753,56.4,39.4,49.9,68.43,68.73,108212,108689,33874,75.837,7.8,54.1,93.6,1.1
헝가리,2009,13046,55.1,38.9,49.9,63.21,59.17,82658,77367,44183,85.107,10,53.1,97.5,-6.7
헝가리,2010,13192,55,37.2,50.3,71.84,66.29,94768,87452,44988,86.232,11.2,46.6,100,1.1
헝가리,2011,14216,55.4,36.6,50.7,78.51,71.55,111297,101423,48835,95.264,11,49.5,101.9,1.9
헝가리,2012,12951,56.7,39.2,51.7,80.08,73.42,102879,94325,44670,98.675,11,49.5,104.9,-1.4
헝가리,2013,13688,58.1,38.6,52.2,79.65,73.2,107858,99124,46508,97.393,10.2,49,107.8,1.9
헝가리,2014,14267,61.8,38.6,53.7,79.71,73.78,112204,103863,42019,100.809,7.7,49,111.8,4.2
헝가리,2015,12707,64,38.9,54.8,80.18,72.56,100287,90751,33124,98.905,6.8,49,114.9,3.8
헝가리,2016,13091,66.5,39.4,55.7,80.16,71.75,102981,92181,25824,98.763,5.1,48.2,116.5,2.1
헝가리,2017,14606,68.2,38.3,56.3,79.51,73.15,113675,104581,28002,93.121,4.2,46.2,121.1,4.3
헝가리,2018,16411,69.3,37.5,56.7,77.18,73.06,123815,117217,31361,86.565,3.7,45,127,5.4
헝가리,2019,16733,70.1,35.8,57.1,74.65,71.26,122059,116516,31831,83.492,3.4,44.6,133,4.6
헝가리,2020,15899,69.7,,56.9,77.03,71.25,119412,110442,41353,97.539,4.3,43.6,140.6,-5
아이슬란드,2000,32096,,36,83.9,21.01,28.53,1896,2575,405,,1.9,28.8,54.6,5
아이슬란드,2001,28897,,34.2,83.5,24.45,27.61,2013,2274,355,,1.9,29.3,59.3,4
아이슬란드,2002,32409,,33.9,82.8,23.95,24.42,2231,2276,462,,3,30.9,62.8,0.6
아이슬란드,2003,39477,83.3,35.3,83.1,20.83,24.74,2381,2828,819,65.338,4,31.5,63.1,2.1
아이슬란드,2004,47335,82.3,36.3,81.9,20.9,26.87,2889,3715,1074,59.083,4,31.9,64.8,7.8
아이슬란드,2005,56795,83.8,39.4,81.4,18.35,29.6,3092,4989,1069,49.374,2.6,32.1,66.8,6.1
아이슬란드,2006,57493,84.6,40.1,82.5,19.84,35.27,3465,6160,2342,53.572,2.8,31.8,72.5,6.3
아이슬란드,2007,69496,85.2,38.6,82.7,19.6,29.45,4243,6376,2632,49.024,2.3,30.5,75.7,8.5
아이슬란드,2008,56943,83.6,34.5,81.9,29.74,33.79,5376,6107,3570,92.839,3,30.9,84.8,2.2
아이슬란드,2009,41301,78.3,31.2,80.3,30.83,27.39,4056,3603,3883,106.886,7.2,30.5,94,-7.7
아이슬란드,2010,43237,78.2,32.3,80.4,33.49,28.5,4606,3919,5790,110.323,7.6,33.4,100,-2.8
아이슬란드,2011,47715,78.5,33.3,79.8,35.11,31.78,5344,4837,8550,117.603,7,34.1,103.1,1.8
아이슬란드,2012,45996,79.7,34,79.9,34.32,32.34,5063,4771,4192,115.66,6,33.8,106.6,1.1
아이슬란드,2013,49805,81.1,34.5,80.7,31.01,31.13,5001,5020,4237,106.949,5.4,34.1,108.9,4.6
아이슬란드,2014,54577,83,37.3,82.1,28.49,30.1,5091,5379,4176,,4.9,33.9,113.4,1.7
아이슬란드,2015,52952,84.7,35.4,83,27.22,30.31,4768,5310,5041,,4,34.3,120.3,4.4
아이슬란드,2016,61988,86.5,50.8,83.8,21.59,27.4,4490,5696,7226,,3,33.9,123,6.3
아이슬란드,2017,72010,86.1,37.6,82.9,19.83,28.19,4904,6972,6567,,2.7,32.8,124.2,4.2
아이슬란드,2018,74348,85.1,37.2,81.8,21.4,29.32,5612,7688,6322,,2.7,32.9,127.5,4.7
아이슬란드,2019,68883,84.1,36.1,81.2,21.09,26.64,5238,6616,6782,,3.5,32.7,133.2,2.6
아이슬란드,2020,59261,80.3,,79,21.15,26.28,4594,5707,6419,,5.5,32.3,137.8,-6.6
아일랜드,2000,26246,65.2,30.8,59,77.14,50.96,77038,50893,5408,38.676,4.3,35.3,85.6,9.4
아일랜드,2001,28240,65.8,28.7,59.2,75.84,46.34,82806,50594,5635,35.506,3.7,31.7,91.5,5.3
아일랜드,2002,32540,65.5,27.9,59.6,68.72,40.71,87923,52082,5475,34.059,4.2,29.5,96.3,5.9
아일랜드,2003,41101,65.5,28.5,59.7,56.51,32.79,92830,53865,4152,32.848,4.5,30.4,100,3
아일랜드,2004,47645,66.3,29.6,60.1,54.01,31.89,104748,61851,2908,31.496,4.5,31,100.5,6.8
아일랜드,2005,50891,67.6,30.1,62,51.78,32.37,109617,68531,869,31.309,4.3,30.3,103.6,5.7
아일랜드,2006,54283,68.7,31.4,63.2,46.89,31.53,108771,73143,832,27.653,4.4,29.1,107.2,5
아일랜드,2007,61337,71.7,30.8,66.6,45.03,31.1,121502,83906,926,27.475,5,28.1,108.5,5.3
아일랜드,2008,61213,69.7,29,65.9,45.72,30.61,125635,84131,1038,47.595,6.8,28.2,108.1,-4.4
아일랜드,2009,52009,63.7,28,64.1,49,26.49,115571,62494,2154,67.774,12.6,29.8,103.1,-5.1
아일랜드,2010,48698,61,27.7,62.6,52.94,28.48,117565,63253,2115,83.677,14.5,30.9,100,1.8
아일랜드,2011,51887,60,28.4,62,53.64,30.72,127476,73013,1703,111.099,15.4,32.6,101.3,0.6
아일랜드,2012,48915,59.9,28.6,61.6,52.8,31.37,118794,70576,1708,129.146,15.5,33,103.7,0.1
아일랜드,2013,51577,61.7,28.9,62,48.95,30.8,116731,73445,1635,132.113,13.7,33.9,105.1,1.2
아일랜드,2014,55587,63.2,29,61.8,46.76,31.68,121059,82017,1748,121.47,11.9,34,105.1,8.6
아일랜드,2015,62000,64.8,23.4,61.8,42.32,26.41,123361,76977,2203,88.444,9.9,33.2,113.1,25.2
아일랜드,2016,62994,66.4,23.6,62.2,43.69,27.1,130863,81185,3592,85.153,8.4,32.7,114.2,2
아일랜드,2017,70413,67.7,22.8,62,40.58,27.53,137358,93197,4413,76.622,6.7,32.6,116.1,9.1
아일랜드,2018,79298,68.7,22.7,62.2,42.7,27.9,164794,107669,5223,74.592,5.7,32.9,116.4,8.5
아일랜드,2019,80779,69.6,22.7,62.3,42.55,25.28,169585,100758,5732,68.725,5,33.2,120.1,5.6
아일랜드,2020,83813,67.8,,61.1,42.7,23.4,178734,97969,7464,,5.6,32.3,119.5,3.4
이탈리아,2000,20088,53.7,40.5,48.2,21.01,20.9,240262,239024,47201,118.367,10.8,47.1,79.5,3.8
이탈리아,2001,20483,54.8,40.1,48.3,20.94,20.2,244345,235712,46216,117.281,9.6,46.6,81.9,2
이탈리아,2002,22270,55.6,39.6,48.8,20.04,19.4,254611,246459,55622,116.217,9.2,46.6,84.6,0.3
이탈리아,2003,27466,56.1,40,49.3,18.87,18.74,297046,295006,63264,113.862,8.9,46,87.2,0.1
이탈리아,2004,31260,57.7,39.2,49.7,19.65,19.74,354255,355876,62386,114.514,7.9,46.3,89.6,1.4
이탈리아,2005,32043,57.6,39,49.1,20.11,20.74,373635,385286,65954,117.211,7.7,45.9,91.4,0.8
이탈리아,2006,33502,58.3,40.5,49.1,21.58,22.9,420342,446115,75773,114.63,6.8,46.1,93.3,1.8
이탈리아,2007,37823,58.6,41.6,48.8,22.62,23.2,499946,512772,94325,110.232,6.1,46.4,95.6,1.5
이탈리아,2008,40778,58.7,41.6,49.1,22.6,23.39,542113,561127,105275,112.527,6.7,46.6,97.9,-1
이탈리아,2009,37080,57.4,42,48.5,18.49,18.89,405070,413905,132798,125.51,7.8,46.8,99.6,-5.3
이탈리아,2010,36001,56.8,41.7,48.2,20.8,22.73,443973,485063,158853,124.332,8.4,47.2,100,1.7
이탈리아,2011,38599,56.8,41.6,48.1,22.91,24.48,525077,561063,173301,117.203,8.4,47.6,101.6,0.7
